state,total_sat,reading_writing,math,percent_taking,region
United States,1060,533,527,48,N/A
Alabama,1165,593,572,5,Southeast
Alaska,1080,547,533,38,West
Arizona,1116,563,553,30,Southwest
Arkansas,1208,614,594,3,Southeast
California,1055,531,524,53,West
Colorado,1201,606,595,11,West
Connecticut,1041,530,512,100,Northeast
Delaware,996,503,492,100,Northeast
District of Columbia,950,482,468,90,Northeast
Florida,1017,520,497,83,Southeast
Georgia,1050,535,515,61,Southeast
Hawaii,1085,544,541,55,West
Idaho,1005,513,493,93,West
Illinois,1115,559,556,9,Midwest
Indiana,1074,542,532,63,Midwest
Iowa,1275,641,635,2,Midwest
Kansas,1260,632,628,4,Midwest
Kentucky,1247,631,616,4,Southeast
Louisiana,1198,611,586,4,Southeast
Maine,1012,513,499,95,Northeast
Maryland,1060,536,524,69,Northeast
Massachusetts,1107,555,551,76,Northeast
Michigan,1005,509,495,100,Midwest
Minnesota,1295,644,651,3,Midwest
Mississippi,1242,634,607,2,Southeast
Missouri,1271,640,631,3,Midwest
Montana,1196,605,591,10,West
Nebraska,1253,629,625,3,Midwest
Nevada,1116,563,553,26,West
New Hampshire,1052,532,520,96,Northeast
New Jersey,1056,530,526,70,Northeast
New Mexico,1138,577,561,11,Southwest
New York,1052,528,523,67,Northeast
North Carolina,1081,546,535,49,Southeast
North Dakota,1256,635,621,2,Midwest
Ohio,1149,578,570,12,Midwest
Oklahoma,1047,530,517,7,Southwest
Oregon,1108,560,548,43,West
Pennsylvania,1071,540,531,65,Northeast
Rhode Island,1062,539,524,71,Northeast
South Carolina,1064,543,521,50,Southeast
South Dakota,1216,612,603,3,Midwest
Tennessee,1228,623,604,5,Southeast
Texas,1020,513,507,62,Southwest
Utah,1238,624,614,3,West
Vermont,1114,562,551,60,Northeast
Virginia,1102,561,541,65,Southeast
Washington,1075,541,534,64,West
West Virginia,1086,558,528,14,Southeast
Wisconsin,1291,642,649,3,Midwest
Wyoming,1230,626,604,3,West
