state,total_sat,reading_writing,math,percent_taking,region
United States,1059,531,528,60,N/A
Alabama,1143,583,560,7,Southeast
Alaska,1097,556,541,41,West
Arizona,1134,569,565,31,Southwest
Arkansas,1141,582,559,6,Southeast
California,1065,534,531,63,West
Colorado,1024,518,506,100,West
Connecticut,1046,529,516,100,Northeast
Delaware,985,499,486,100,Northeast
District of Columbia,975,495,480,94,Northeast
Florida,999,516,483,100,Southeast
Georgia,1058,538,519,71,Southeast
Hawaii,1100,550,550,54,West
Idaho,993,505,488,100,West
Illinois,1013,509,504,100,Midwest
Indiana,1080,543,537,66,Midwest
Iowa,1244,622,622,3,Midwest
Kansas,1241,618,623,4,Midwest
Kentucky,1232,620,612,4,Southeast
Louisiana,1200,610,591,5,Southeast
Maine,1013,512,502,99,Northeast
Maryland,1058,535,523,82,Northeast
Massachusetts,1120,559,561,81,Northeast
Michigan,1003,507,496,100,Midwest
Minnesota,1284,636,648,4,Midwest
Mississippi,1237,628,608,3,Southeast
Missouri,1236,622,614,4,Midwest
Montana,1199,603,596,9,West
Nebraska,1260,628,631,3,Midwest
Nevada,1156,580,576,20,West
New Hampshire,1059,533,526,95,Northeast
New Jersey,1090,544,545,82,Northeast
New Mexico,1073,543,530,18,Southwest
New York,1064,531,533,79,Northeast
North Carolina,1100,554,546,51,Southeast
North Dakota,1263,627,636,2,Midwest
Ohio,1097,550,548,19,Midwest
Oklahoma,963,490,472,22,Southwest
Oregon,1112,562,550,51,West
Pennsylvania,1082,545,537,70,Northeast
Rhode Island,995,503,492,100,Northeast
South Carolina,1030,526,504,68,Southeast
South Dakota,1268,633,635,3,Midwest
Tennessee,1220,618,602,7,Southeast
Texas,1022,515,507,68,Southwest
Utah,1230,614,615,4,West
Vermont,1106,560,546,66,Northeast
Virginia,1119,567,551,68,Southeast
Washington,1074,539,535,70,West
West Virginia,943,483,460,99,Southeast
Wisconsin,1283,635,648,3,Midwest
Wyoming,1238,623,615,3,West
